; charset=UTF-8
@@	12000	Cuneiform	123FF
@		Signs
12000	CUNEIFORM SIGN A
12001	CUNEIFORM SIGN A TIMES A
12002	CUNEIFORM SIGN A TIMES BAD
12003	CUNEIFORM SIGN A TIMES GAN2 TENU
12004	CUNEIFORM SIGN A TIMES HA
12005	CUNEIFORM SIGN A TIMES IGI
12006	CUNEIFORM SIGN A TIMES LAGAR GUNU
12007	CUNEIFORM SIGN A TIMES MUSH
12008	CUNEIFORM SIGN A TIMES SAG
12009	CUNEIFORM SIGN A2
1200A	CUNEIFORM SIGN AB
1200B	CUNEIFORM SIGN AB TIMES ASH2
1200C	CUNEIFORM SIGN AB TIMES DUN3 GUNU
1200D	CUNEIFORM SIGN AB TIMES GAL
1200E	CUNEIFORM SIGN AB TIMES GAN2 TENU
1200F	CUNEIFORM SIGN AB TIMES HA
12010	CUNEIFORM SIGN AB TIMES IGI GUNU
12011	CUNEIFORM SIGN AB TIMES IMIN
12012	CUNEIFORM SIGN AB TIMES LAGAB
12013	CUNEIFORM SIGN AB TIMES SHESH
12014	CUNEIFORM SIGN AB TIMES U PLUS U PLUS U
12015	CUNEIFORM SIGN AB GUNU
12016	CUNEIFORM SIGN AB2
12017	CUNEIFORM SIGN AB2 TIMES BALAG
12018	CUNEIFORM SIGN AB2 TIMES GAN2 TENU
12019	CUNEIFORM SIGN AB2 TIMES ME PLUS EN
1201A	CUNEIFORM SIGN AB2 TIMES SHA3
1201B	CUNEIFORM SIGN AB2 TIMES TAK4
1201C	CUNEIFORM SIGN AD
1201D	CUNEIFORM SIGN AK
1201E	CUNEIFORM SIGN AK TIMES ERIN2
1201F	CUNEIFORM SIGN AK TIMES SHITA PLUS GISH
12020	CUNEIFORM SIGN AL
12021	CUNEIFORM SIGN AL TIMES AL
12022	CUNEIFORM SIGN AL TIMES DIM2
12023	CUNEIFORM SIGN AL TIMES GISH
12024	CUNEIFORM SIGN AL TIMES HA
12025	CUNEIFORM SIGN AL TIMES KAD3
